"name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","reviews_per_month","days_as_host","city"
"Amsterdam townhouse + sauna, 165m2","2016-03-03","within a few hours",100,NA,"f",1,1,"t","t","Entire home/apt",6,3,7,636,2,1125,271,3,0,0,5,5,5,5,5,4.67,5,"f",1,0.06,2094,"Amsterdam"
"lovely apartment Amsterdam West","2012-05-13","within a few hours",67,43,"f",1,1,"t","t","Entire home/apt",4,2,2,250,2,30,23,22,6,0,4.86,4.91,4.82,4.95,4.91,4.86,4.59,"f",1,0.54,3484,"Amsterdam"
"Light apartment with garden;ten min to Leidseplein","2016-09-07","N/A",NA,NA,"f",0,0,"t","f","Entire home/apt",2,1,1,140,2,20,91,12,0,0,5,5,5,4.91,5,4.73,4.73,"f",1,0.29,1906,"Amsterdam"
"Spacious 3 bedroom family apt","2014-04-30","within a few hours",100,33,"f",1,1,"t","f","Entire home/apt",3,3,4,200,4,1125,34,11,3,0,4.91,5,4.91,5,5,4.73,4.91,"f",1,0.12,2767,"Amsterdam"
"fantastic room at Amstel river for two","2017-07-03","within an hour",96,99,"f",0,0,"t","t","Private room",2,1,2,71,2,1125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",11,NA,1607,"Amsterdam"
"Spacious apartment in Amsterdam","2014-06-12","N/A",NA,NA,"f",3,3,"t","t","Entire home/apt",6,3,2,240,3,18,0,5,0,0,4.6,4,4.6,4.6,4.8,4.4,4.4,"f",1,0.13,2724,"Amsterdam"
"Super central & spacious, overlooking Singel Canal","2012-02-28","within an hour",100,88,"t",8,8,"t","t","Entire home/apt",4,2,2,262,5,1124,16,50,0,0,4.78,4.74,4.72,4.96,4.98,4.96,4.7,"t",8,0.85,3559,"Amsterdam"
"Top location with amazing view + boat","2015-09-14","within a few hours",100,40,"t",1,1,"t","f","Entire home/apt",2,1,NA,249,5,1125,213,56,1,0,4.93,4.95,4.93,4.98,5,4.78,4.71,"f",1,0.76,2265,"Amsterdam"
"Entire private apartment in renovated cargo ship","2012-11-25","within a day",90,74,"f",2,2,"t","t","Private room",4,2,5,151,3,1125,156,13,2,1,4.69,5,4.54,5,4.77,4.54,4.77,"f",1,0.6,3288,"Amsterdam"
"Lovely apartment with sunny balcony in the Pijp","2014-07-09","within an hour",100,100,"f",0,0,"t","t","Entire home/apt",2,1,1,149,3,14,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,2697,"Amsterdam"
"Stunning Residence in Vondelpark/Museum District","2021-08-17","within an hour",100,100,"f",0,0,"t","t","Private room",2,1,1,143,2,1125,45,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",2,NA,101,"Amsterdam"
"City center apt of 90sqm in monumental building","2021-07-23","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",4,2,3,226,2,30,2,9,9,3,4.89,4.89,4.44,4.89,5,5,4.89,"f",1,3.29,126,"Amsterdam"
"Spacious and modern house in Amsterdam","2012-07-09","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",4,4,5,266,2,29,103,6,0,0,4.4,4.8,4.4,4.6,4.8,4.8,4.2,"f",1,0.23,3427,"Amsterdam"
"Residences | 1-Bedrooms | Serviced Apartment","2021-01-13","within a few hours",91,100,"f",0,0,"t","t","Entire home/apt",4,1,3,143,7,180,274,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",5,NA,317,"Amsterdam"
"Stylish 4 floor villa, own entrance","2016-05-03","within a day",100,NA,"f",1,1,"t","t","Entire home/apt",4,3,4,425,3,1125,127,19,0,0,5,5,5,4.95,5,4.89,4.79,"f",1,0.35,2033,"Amsterdam"
"Amsterdam with everything you want&need closeby!","2012-12-14","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",4,2,2,120,3,3,1,17,0,0,5,4.94,5,5,5,4.76,4.88,"f",1,0.49,3269,"Amsterdam"
"Cannabis Friendly Weber Design Studio 2","2018-03-13","within an hour",97,99,"f",22,22,"t","t","Entire home/apt",2,NA,1,131,2,1125,0,8,8,1,4.25,4.5,4.5,4.88,4.63,4.88,4.25,"t",22,2.24,1354,"Amsterdam"
"Luxurious studio with private bathroom and terrace","2013-09-06","within an hour",100,80,"f",0,0,"t","t","Private room",2,1,1,80,3,30,121,2,2,0,5,5,5,5,5,5,5,"f",1,0.88,3003,"Amsterdam"
"Cosy room in trendiest neighbourhood of A'dam","2015-03-19","N/A",NA,NA,"f",1,1,"t","f","Private room",1,1,1,75,3,7,0,2,0,0,5,5,5,5,5,4,5,"f",1,0.04,2444,"Amsterdam"
"Architectual designed house","2014-08-20","within an hour",100,50,"f",0,0,"t","f","Entire home/apt",4,4,4,375,3,1125,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,2655,"Amsterdam"
"Canal View apartment in City Centre","2013-07-20","within a day",100,82,"f",3,3,"t","f","Entire home/apt",3,2,2,150,7,1125,145,129,15,1,4.64,4.77,4.56,4.73,4.79,4.95,4.57,"f",1,1.75,3051,"Amsterdam"
"Light & trendy apartment in Amsterdam West","2012-11-28","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,110,2,8,0,50,0,0,4.9,4.98,4.92,4.96,4.88,4.53,4.69,"f",1,0.97,3285,"Amsterdam"
"Picturesque family house with a great garden","2018-05-28","N/A",NA,NA,"f",2,2,"t","f","Entire home/apt",4,3,4,259,7,21,0,2,0,0,3.5,4.5,3.5,5,5,4.5,3,"f",2,0.05,1278,"Amsterdam"
"Private studio Amsterdam, own entrance","2017-12-17","N/A",NA,NA,"f",1,1,"t","f","Private room",2,NA,1,71,1,1125,0,4,0,0,5,4.75,5,5,5,4.5,4.75,"f",1,0.09,1440,"Amsterdam"
"Amazing house with garden with use of sauna","2016-03-22","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,236,2,5,133,55,0,0,4.95,4.89,4.94,4.94,4.94,4.89,4.68,"f",1,0.82,2075,"Amsterdam"
"PRIVATE Studio Apartment, Pijp district, Amsterdam","2016-06-08","within a few hours",100,100,"t",1,1,"t","t","Private room",2,1,1,71,1,1125,261,304,8,0,4.83,4.9,4.88,4.95,4.96,4.92,4.72,"t",1,4.95,1997,"Amsterdam"
"Dutchies Hostel","2019-11-11","within an hour",100,100,"f",2,2,"t","t","Hotel room",10,NA,NA,0,1,365,0,108,108,12,4.3,4.43,4.24,4.66,4.56,4.07,4.38,"f",1,10.35,746,"Amsterdam"
"Amsterdam penthouse with amazing views","2018-01-24","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",2,1,1,121,2,1125,0,5,0,0,4.6,4.8,3.4,4.8,5,4.4,4.4,"t",1,0.15,1402,"Amsterdam"
"Amalia Residence","2012-08-29","within an hour",100,98,"t",4,4,"t","t","Entire home/apt",4,2,2,291,1,365,262,85,17,2,4.57,4.63,4.87,4.74,4.8,4.67,4.37,"t",4,1.61,3376,"Amsterdam"
"Private Studio 53 Amsterdam, near Anne Frank","2014-05-21","within an hour",100,96,"t",1,1,"t","t","Private room",2,1,1,106,3,1125,124,248,2,1,4.85,4.88,4.88,4.93,4.93,4.95,4.65,"f",1,2.78,2746,"Amsterdam"
"Spacious room in nice apartment","2015-11-04","within an hour",96,97,"f",3,3,"t","t","Private room",3,1,2,61,1,1125,359,22,10,1,4.59,4.82,4.32,4.82,4.68,4.77,4.59,"t",4,1.4,2214,"Amsterdam"
"GARDEN SUITE incl Food, Drinks, Wines + GARDEN !","2015-10-03","within a day",80,35,"f",4,4,"t","t","Entire home/apt",2,1,NA,260,3,1125,299,69,13,1,4.88,4.88,4.82,4.88,4.91,4.93,4.78,"f",4,0.98,2246,"Amsterdam"
"City centre B&B De Admiraal","2013-06-20","within an hour",95,91,"f",4,4,"t","t","Private room",4,2,3,175,2,15,52,70,11,0,4.7,4.67,4.84,4.9,4.84,4.71,4.41,"f",1,1.65,3081,"Amsterdam"
"Da Costa Suite","2016-07-17","within an hour",100,98,"t",2,2,"t","t","Private room",2,1,1,399,2,1125,324,28,17,2,4.89,4.96,4.82,4.96,5,4.96,4.79,"t",2,0.75,1958,"Amsterdam"
"Peaceful, green Amsterdam house (free parking)","2015-04-14","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,3,3,150,4,14,0,18,0,0,5,5,4.94,4.94,5,4.59,4.71,"f",1,0.32,2418,"Amsterdam"
"Quiet garden room, private bath, airco, parking","2015-04-24","within an hour",100,100,"t",2,2,"t","t","Private room",2,1,1,100,2,30,341,255,5,4,4.94,4.97,4.97,4.99,4.98,4.91,4.81,"f",2,3.24,2408,"Amsterdam"
"Lichte, rustige loft Westerpark","2015-07-13","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,NA,2,115,2,1125,0,30,0,0,4.76,4.79,4.86,4.96,4.93,4.69,4.66,"f",1,0.4,2328,"Amsterdam"
"Amsterdam Windmill Apartment","2015-12-26","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",3,2,2,180,3,7,143,15,2,2,4.27,4.67,4.07,4.73,4.53,4.8,4.13,"f",1,0.39,2162,"Amsterdam"
"Modern Studio next to city center","2012-08-13","N/A",NA,NA,"f",6,6,"t","t","Entire home/apt",2,1,1,44,2,1125,0,18,6,0,4.5,4.61,4.61,4.89,4.78,4.78,4.39,"f",4,1.11,3392,"Amsterdam"
"Charming, typical bright apartment -  B&B Anne","2015-12-15","within an hour",100,96,"t",1,1,"t","t","Private room",4,1,2,156,3,1125,130,103,10,4,4.99,4.98,4.97,4.97,5,4.93,4.85,"t",1,3.18,2173,"Amsterdam"
"Stylish apartment for families with children","2019-10-06","within a day",100,78,"f",1,1,"t","t","Entire home/apt",5,3,4,140,4,20,0,7,3,0,4.86,5,4.86,5,5,5,4.86,"f",1,0.31,782,"Amsterdam"
"Fully equipped apartment in de Amsterdamse Pijp","2021-10-14","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",2,1,NA,108,3,365,96,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,43,"Amsterdam"
"Amsterdam Studio Garden Museumplein","2012-09-23","N/A",NA,NA,"f",2,2,"t","f","Entire home/apt",2,1,2,120,3,150,61,243,3,1,4.5,4.49,4.66,4.78,4.73,4.83,4.45,"f",2,3.02,3351,"Amsterdam"
"Living in a houseboat on the water","2013-03-03","within a few hours",100,67,"t",1,1,"t","t","Private room",2,1,2,95,2,7,349,166,1,1,4.67,4.76,4.81,4.95,4.89,4.49,4.57,"f",1,1.8,3190,"Amsterdam"
"Private Attic Studio/Roofterrace","2016-01-07","within an hour",100,99,"t",1,1,"t","t","Private room",2,1,1,83,2,1125,90,577,23,3,4.98,4.97,5,4.99,4.99,4.81,4.94,"t",1,8.25,2150,"Amsterdam"
"Prachtig appartement aan het water, randje Jordaan","2016-03-15","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",2,1,1,110,3,1125,0,10,0,0,4.8,4.9,4.9,5,4.9,5,4.9,"f",1,0.34,2082,"Amsterdam"
"Design Studio One","2014-06-21","N/A",NA,NA,"f",1,1,"t","t","Private room",2,1,1,90,2,1125,196,273,7,2,4.68,4.79,4.76,4.91,4.88,4.8,4.68,"f",1,3.17,2715,"Amsterdam"
"Lovely Spacious Watervilla","2014-01-24","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",2,1,1,150,6,1125,0,5,0,0,4.6,5,5,5,5,4.6,4.4,"f",1,0.1,2863,"Amsterdam"
"Modern apartment near City Center - free parking","2018-12-23","N/A",NA,100,"f",0,0,"t","t","Entire home/apt",2,2,2,125,4,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,1069,"Amsterdam"
"Amazing appartment near the city centre!","2013-07-13","N/A",NA,NA,"f",2,2,"t","t","Entire home/apt",4,2,2,300,2,1125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,3058,"Amsterdam"
"The Classic Canal Loft","2015-11-10","within an hour",100,99,"f",1,1,"t","t","Entire home/apt",4,NA,2,200,1,1125,108,28,3,2,4.64,4.57,4.82,4.79,4.86,4.82,4.61,"t",1,1.11,2208,"Amsterdam"
"Romantic studio on houseboat in super location!!","2014-11-11","within an hour",100,80,"f",0,0,"t","t","Private room",2,1,1,155,2,60,70,5,1,0,5,5,5,5,5,5,4.4,"f",2,0.23,2572,"Amsterdam"
"Lovely & Cozy Apartment at the Amstel River - 60m2","2017-02-09","within an hour",100,100,"f",0,0,"t","t","Entire home/apt",4,2,2,160,2,3,0,7,0,0,4.71,4.86,4.57,5,4.86,4.86,4.43,"f",2,0.26,1751,"Amsterdam"
"Volledige moderne familie woning met tuin","2013-07-10","within a day",100,100,"f",1,1,"t","f","Entire home/apt",4,3,3,300,6,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,3061,"Amsterdam"
"W Spacious split-level 100m2 Jordaan apartment C","2013-04-06","within an hour",97,46,"t",18,18,"t","t","Entire home/apt",2,1,1,110,7,180,304,48,7,0,4.89,4.91,4.89,4.83,4.87,4.98,4.78,"f",12,0.63,3156,"Amsterdam"
"upper east 2 nice apartments","2013-06-05","N/A",NA,50,"t",2,2,"t","t","Entire home/apt",2,NA,3,99,90,1125,334,58,0,0,4.69,4.62,4.89,4.87,4.87,4.74,4.49,"f",1,0.67,3096,"Amsterdam"
"stylish apartment free car parking and 2 bikes","2011-10-28","within a day",100,87,"f",2,2,"t","t","Private room",4,2,2,135,2,365,319,100,10,3,4.85,4.89,4.95,4.92,4.89,4.74,4.65,"f",1,0.86,3682,"Amsterdam"
"Amsterdam city centre appartment 155 m2.","2013-07-17","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",5,3,3,220,1,14,0,7,0,0,4.43,4.29,4,4.71,4.86,4.57,4,"f",1,0.18,3054,"Amsterdam"
"sunny plant filled amsterdam apartment","2015-05-14","within an hour",67,80,"f",2,2,"t","t","Entire home/apt",4,2,2,200,2,1125,0,23,3,0,4.86,5,4.59,4.91,4.95,5,4.82,"f",1,0.55,2388,"Amsterdam"
"Comfortable Modern House near Amsterdam CityCentre","2012-11-28","within a day",100,100,"f",1,1,"t","t","Entire home/apt",4,4,2,130,3,1125,3,25,1,1,4.96,4.96,5,4.96,5,4.46,4.75,"f",1,0.68,3285,"Amsterdam"
"Beautiful Apartment in De Pijp","2013-12-24","within a day",80,45,"f",2,2,"t","t","Entire home/apt",2,1,1,130,2,1125,4,28,5,1,4.67,4.85,4.56,4.78,4.89,4.96,4.37,"f",2,0.77,2894,"Amsterdam"
"BnB MidtownAmsterdamSuites city center","2019-08-13","within an hour",100,100,"f",2,2,"t","f","Private room",2,1,1,107,2,1125,326,27,3,1,4.81,4.81,4.74,4.89,4.67,4.81,4.67,"t",2,1.09,836,"Amsterdam"
"floating studio nescio","2015-10-08","within a day",100,100,"f",1,1,"t","t","Private room",3,1,2,160,3,14,351,71,2,0,4.96,4.96,4.99,4.99,4.99,4.75,4.77,"f",1,1.28,2241,"Amsterdam"
"family home with garden","2014-06-10","within an hour",100,86,"f",1,1,"t","t","Entire home/apt",4,3,NA,90,3,30,0,29,3,1,4.55,4.62,4.03,4.75,4.86,4.46,4.39,"f",1,0.62,2726,"Amsterdam"
"B &B Reijgershof “Green Room”","2013-02-18","N/A",NA,NA,"f",5,5,"t","t","Private room",2,1,1,85,1,21,343,2,2,0,5,5,4.5,5,4.5,4.5,5,"t",6,1.28,3203,"Amsterdam"
"B&B room - green & bright!","2012-04-23","within an hour",100,NA,"t",1,1,"t","f","Private room",2,1,1,56,4,21,193,265,0,0,4.8,4.8,4.69,4.91,4.93,4.58,4.76,"f",1,2.78,3504,"Amsterdam"
"Lovely studio in the lively East Neighborhood","2019-08-28","within an hour",100,100,"f",0,0,"t","t","Entire home/apt",2,1,1,83,5,30,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,821,"Amsterdam"
"Bright, spacious & trendy apartment with rooftop!","2012-09-16","within a day",100,15,"f",2,2,"t","t","Entire home/apt",2,1,1,85,4,10,0,8,1,0,5,5,4.86,5,5,4.71,5,"f",1,0.19,3358,"Amsterdam"
"The Hendrick's Hotel: High King Quarters","2020-09-25","within an hour",100,100,"t",0,0,"t","t","Private room",2,1,1,236,1,365,328,2,2,0,4.5,5,5,5,5,5,4,"t",8,0.17,427,"Amsterdam"
"Signature Studio in the Picturesque Canal District","2019-11-27","within an hour",100,100,"f",1,1,"t","t","Private room",2,1,1,179,1,1125,65,50,23,5,4.8,4.74,4.7,4.72,4.8,4.98,4.38,"t",2,2.17,730,"Amsterdam"
"Beautiful spacious apartment next to Jordaan 60m2!","2014-12-03","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",2,1,1,170,2,1125,0,7,0,0,4.86,5,4.57,4.71,5,4.71,4.71,"f",1,0.26,2550,"Amsterdam"
"Room with Bathroom and Terrace in City Centre","2012-05-07","within an hour",100,99,"t",3,3,"t","t","Private room",2,1,1,98,1,4,141,450,69,6,4.86,4.89,4.9,4.92,4.93,4.97,4.78,"t",2,6.79,3490,"Amsterdam"
"Luxe appartement, 2 dakterrassen in Amsterdam Oost","2014-08-17","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",2,1,1,175,4,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2658,"Amsterdam"
"Great Ap. in Lively Green Hip West. close to centr","2015-06-16","N/A",NA,NA,"f",2,2,"t","t","Entire home/apt",4,2,4,120,2,20,0,5,0,0,4.8,5,4.8,5,4.8,4.8,4.8,"f",1,0.07,2355,"Amsterdam"
"Lovely studio for 2 in the Red Light District","2017-12-22","within an hour",100,100,"t",2,2,"t","f","Private room",2,NA,1,90,3,1124,8,95,0,0,4.84,4.96,4.87,4.89,4.75,4.94,4.65,"t",2,2.04,1435,"Amsterdam"
"Spacious Design Loft @the Canal","2013-02-06","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,298,3,365,29,2,0,0,5,5,5,4.5,5,4.5,4.5,"f",1,0.04,3215,"Amsterdam"
"Cosy & authentic ap with garden","2016-03-31","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,3,3,128,2,1125,0,18,0,0,4.5,4.5,4.59,4.39,4.89,4.78,4.59,"f",1,0.28,2066,"Amsterdam"
"Private guesthouse @ BnB The Waterhouse(houseboat)","2013-11-06","within an hour",100,100,"t",0,0,"t","t","Private room",3,1,2,138,3,1125,231,34,8,0,4.88,4.91,4.91,4.91,4.91,4.85,4.71,"t",1,1.44,2942,"Amsterdam"
"Studio Apartment Room W/ Jacuzzi De Pijp Amsterdam","2012-11-02","N/A",NA,NA,"t",1,1,"t","t","Private room",2,1,1,98,2,1125,179,27,1,1,4.81,4.69,4.77,4.81,4.96,4.88,4.54,"f",1,0.85,3311,"Amsterdam"
"Cozy apartment in Amsterdam near the City Centre","2016-01-07","within a day",90,48,"f",1,1,"t","t","Entire home/apt",2,1,1,130,2,1125,7,12,6,4,5,5,5,5,5,4.92,5,"f",1,0.55,2150,"Amsterdam"
"Residences | 2-Bedrooms | Serviced Apartment","2021-01-13","within a day",70,100,"f",4,4,"t","t","Entire home/apt",4,2,4,186,7,180,252,1,1,0,5,4,4,5,5,5,4,"t",3,0.33,317,"Amsterdam"
"Big warehouse: industrial apartment in Amsterdam","2012-06-18","within an hour",100,100,"t",2,2,"t","t","Entire home/apt",16,3,20,353,1,350,240,300,32,2,4.71,4.76,4.51,4.8,4.76,4.28,4.5,"t",3,4.22,3448,"Amsterdam"
"Elegant and spacious home on Amstel River","2012-05-10","within a day",60,17,"f",1,1,"t","t","Entire home/apt",4,2,2,300,4,1125,150,11,0,0,5,4.91,4.73,4.82,4.91,4.91,4.55,"f",1,0.32,3487,"Amsterdam"
"Cozy ground floor house in the heart of Amsterdam","2016-01-10","within a day",100,NA,"f",0,0,"t","f","Entire home/apt",2,1,1,200,12,20,248,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2147,"Amsterdam"
"Large city center apt, entertainment, quiet street","2016-12-27","within an hour",100,56,"t",1,1,"t","f","Entire home/apt",2,1,1,229,3,16,326,19,2,1,4.47,4.68,4.05,4.79,4.74,4.79,4.47,"f",1,0.33,1795,"Amsterdam"
"Unique house with big sunny garden","2012-07-05","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,400,3,1125,0,14,0,0,4.93,5,4.86,4.93,5,4.71,4.71,"f",1,0.21,3431,"Amsterdam"
"Eco-friendly 2 Single Beds Room by Vondelpark","2020-08-20","within an hour",99,100,"f",5,5,"t","t","Private room",2,1,2,105,1,365,361,41,32,1,4.78,4.8,4.9,4.63,4.83,4.59,4.66,"t",4,2.94,463,"Amsterdam"
"Cozy appartment with parcview","2016-03-04","N/A",NA,NA,"f",2,2,"t","f","Entire home/apt",2,1,1,50,6,21,0,5,0,0,5,5,5,4.8,5,5,5,"f",1,0.22,2093,"Amsterdam"
"Saint Claire 1","2015-09-14","within an hour",100,99,"f",35,35,"t","f","Private room",2,NA,1,63,3,1125,340,11,0,0,4.45,4.91,4.64,4.55,4.82,5,4.27,"t",4,0.41,2265,"Amsterdam"
"Luxurious, 135m2 & rooftop terrace","2015-07-28","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,280,3,30,0,25,0,0,5,4.92,5,4.96,5,4.92,4.84,"f",1,0.35,2313,"Amsterdam"
"Great room for two near Amstel river Amsterdam south/east","2017-07-03","within an hour",96,99,"f",0,0,"t","t","Private room",2,1,1,71,2,1125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",11,NA,1607,"Amsterdam"
"Intimate studio","2015-07-26","within an hour",100,100,"f",2,2,"t","t","Private room",2,1,1,35,1,1125,216,263,5,3,4.64,4.81,4.7,4.8,4.76,4.49,4.63,"f",1,3.63,2315,"Amsterdam"
"Modern Duplex Studio at YAYS Amsterdam Maritime","2018-10-03","within an hour",91,99,"f",6,6,"t","t","Entire home/apt",2,1,1,230,1,1125,359,1,1,0,5,5,5,5,5,5,4,"t",6,0.11,1150,"Amsterdam"
"Comfortable 2 person room in gorgeous home","2014-05-19","within an hour",100,100,"f",3,3,"t","t","Private room",2,1,2,51,2,1125,141,113,2,2,4.65,4.68,4.27,4.84,4.79,4.45,4.42,"t",3,1.66,2748,"Amsterdam"
"Entire home with direct Vondelpark view","2014-07-03","within an hour",100,100,"f",1,1,"t","f","Entire home/apt",4,3,4,345,3,25,0,21,1,1,5,4.9,5,4.85,5,4.85,4.7,"f",1,0.41,2703,"Amsterdam"
"Stylish and light apartment in central Amsterdam","2015-10-06","N/A",NA,100,"f",0,0,"t","t","Entire home/apt",2,1,1,130,4,30,0,2,2,0,5,5,5,5,5,5,5,"t",1,0.19,2243,"Amsterdam"
"Luxury design apt in hip area Amsterdam Old-South","2014-03-26","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,99,2,1125,0,45,0,0,4.91,4.98,4.91,4.91,4.93,4.67,4.64,"f",1,0.89,2802,"Amsterdam"
"Gemeubileerde kamer met bedbank, tv en keuken.","2016-08-13","within a few hours",100,100,"f",2,2,"t","t","Private room",1,NA,1,50,2,7,153,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,1931,"Amsterdam"
"Renovated apartment on quiet street near centre","2016-08-19","N/A",NA,NA,"f",0,0,"t","t","Entire home/apt",2,1,1,150,3,1125,9,6,1,0,4.8,5,4.8,5,5,5,5,"f",1,0.25,1925,"Amsterdam"
"Amsterdam City private house with rooftop terrace","2013-03-15","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",3,1,1,175,5,14,0,4,0,0,5,5,5,5,5,5,4.75,"f",1,0.08,3178,"Amsterdam"
"20 m2 room in idyllic old centre","2014-09-23","within a few hours",100,91,"f",1,1,"t","t","Private room",2,1,1,125,2,1125,159,96,8,4,4.89,4.96,4.91,4.97,5,4.99,4.66,"f",1,1.19,2621,"Amsterdam"
"Cozy room in renovated apartment with garden","2019-04-06","within an hour",100,100,"f",3,3,"t","t","Private room",1,1,1,70,3,1125,354,33,9,0,4.52,4.61,4,4.67,4.58,4.73,4.39,"t",3,2.09,965,"Amsterdam"
"Rooftop boutique apt with 3 terraces","2012-10-13","within a day",100,33,"f",0,0,"t","t","Entire home/apt",3,2,2,175,3,31,22,1,1,1,5,5,5,5,5,5,5,"f",1,1,3331,"Amsterdam"
"Private canal studio - ideal location","2015-03-19","within an hour",100,93,"t",1,1,"t","t","Private room",2,1,1,76,2,1125,9,78,2,0,4.63,4.68,4.82,4.84,4.79,4.9,4.36,"f",1,1.16,2444,"Amsterdam"
"Ground floor canal house","2015-06-09","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",3,1,2,225,1,1125,0,5,0,0,5,5,4.75,5,5,5,5,"f",1,0.06,2362,"Amsterdam"
"Zoku Loft XL - Home/Office Hybrid - Hotel Stay","2015-04-09","within an hour",95,100,"t",4,4,"t","t","Entire home/apt",2,1,1,223,1,6,298,15,15,5,4.8,4.87,4.93,4.6,4.6,4.87,4.53,"t",6,2.73,2423,"Amsterdam"
"Relaxed Room In Amsterdam. One step for everywhere","2013-03-28","N/A",NA,NA,"f",0,0,"t","f","Private room",2,1,NA,60,2,1125,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,3165,"Amsterdam"
"nice cozy room near Vondelpark","2012-09-12","within a day",100,0,"f",3,3,"t","t","Private room",1,1,1,60,2,5,1,40,0,0,4.68,4.76,4.92,4.89,4.76,4.62,4.63,"f",3,0.42,3362,"Amsterdam"
"Luxurious Apartment in Popular District ""De Pijp""","2016-07-10","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",2,1,1,247,1,1125,165,76,3,1,4.8,4.84,4.41,4.97,4.99,4.89,4.65,"t",1,1.18,1965,"Amsterdam"
"Lovely familyhome 110m2,gardens,  naar centre.","2012-02-22","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,3,3,149,2,21,0,10,2,2,4.9,4.7,4.9,4.7,4.5,4.1,4.1,"f",1,0.19,3565,"Amsterdam"
"Sunny House with a spacious terrace!","2013-09-02","within a few hours",100,100,"f",1,1,"t","t","Entire home/apt",2,1,1,90,6,20,0,3,1,0,5,4.67,5,5,4.67,5,5,"f",1,2.31,3007,"Amsterdam"
"Big, bright room; privat bathroom &entrance","2014-09-04","N/A",NA,100,"t",1,1,"t","t","Private room",4,1,3,48,2,24,0,264,0,0,4.88,4.92,4.96,4.95,4.96,4.5,4.8,"f",1,3.55,2640,"Amsterdam"
"Amazing Amsterdam Canalside Loft","2013-08-04","N/A",NA,NA,"t",1,1,"t","t","Private room",2,1,1,155,3,4,0,69,0,0,4.99,4.96,4.99,5,4.99,5,4.78,"f",1,1.05,3036,"Amsterdam"
"Duplex + rooftop /  Westerpark","2015-10-22","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,240,6,1125,31,13,3,0,4.67,4.75,3.92,4.92,4.58,5,4.33,"t",1,0.58,2227,"Amsterdam"
"Woonboot Centrum Jordaan Amsterdam","2018-05-16","within an hour",100,80,"f",1,1,"t","t","Entire home/apt",2,NA,1,250,2,15,11,2,2,0,4,4.5,3.5,4.5,5,5,4,"f",1,0.71,1290,"Amsterdam"
"Gypsy Waggon - A villa on wheels","2012-07-24","within a few hours",100,73,"f",13,13,"t","t","Private room",6,2,6,103,2,1125,216,80,3,0,4.41,4.36,4.3,4.51,4.53,4.26,4.45,"f",10,1.45,3412,"Amsterdam"
