"name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","reviews_per_month","days_as_host","city"
"Master Bedroom on Canal of Amsterdam City Center","2012-04-24","within an hour",100,99,"f",1,1,"t","t","Private room",2,1,1,51,1,1125,95,239,55,6,4.44,4.37,4.35,4.65,4.64,4.65,4.43,"t",1,2.41,3503,"Amsterdam"
"Central and spacious apt with river view + garden","2011-09-15","within an hour",100,100,"f",1,1,"t","f","Entire home/apt",4,3,3,289,3,21,15,3,3,0,5,4.67,5,4.67,5,5,4.67,"t",1,1.2,3725,"Amsterdam"
"Modern Houseboat | Canal Views! | JORDAAN AREA","2012-07-21","within a few hours",92,90,"f",1,1,"t","t","Private room",2,1,1,73,2,365,233,303,20,4,4.73,4.81,4.86,4.85,4.81,4.65,4.62,"f",1,2.98,3415,"Amsterdam"
"LaCorteSconta B&B - Junior Suite","2015-07-20","N/A",NA,NA,"f",2,2,"t","t","Private room",3,1,2,120,1,31,308,18,1,0,4.89,5,4.89,4.94,5,4.83,4.67,"t",3,0.35,2321,"Amsterdam"
"Cosy Studio apartment","2014-09-03","within a day",100,100,"f",1,1,"t","t","Entire home/apt",2,1,1,153,7,90,0,33,1,0,4.81,4.88,4.69,5,5,5,4.58,"f",1,0.49,2641,"Amsterdam"
"Big house Closeby Rai center 5min public transport","2019-11-14","within an hour",100,97,"t",0,0,"t","t","Entire home/apt",6,3,3,299,6,95,33,15,1,1,4.87,4.6,4.67,5,5,4.87,4.8,"f",3,0.71,743,"Amsterdam"
"Amsterdam - Ground floor apartment - De Pijp","2019-11-06","N/A",NA,NA,"f",0,0,"t","f","Entire home/apt",2,1,1,250,2,7,122,1,0,0,5,5,5,5,5,5,4,"f",1,0.04,751,"Amsterdam"
"Bright, full equipped, great located 4 person apt.","2014-04-27","N/A",NA,0,"f",1,1,"t","t","Entire home/apt",4,1,2,150,4,1125,307,38,0,0,4.93,4.96,4.82,4.86,5,4.75,4.89,"f",1,0.78,2770,"Amsterdam"
"Fancy apartment heart of Amsterdam","2012-12-29","N/A",NA,14,"f",2,2,"t","t","Entire home/apt",2,1,1,180,7,365,191,80,1,0,4.9,4.87,4.71,4.92,4.96,4.96,4.7,"f",1,0.77,3254,"Amsterdam"
"Cosy, spacious (family) house with roofterrace!","2011-07-29","within a day",90,63,"f",2,2,"t","t","Entire home/apt",4,3,3,163,3,28,6,17,3,1,4.88,5,4.76,4.88,4.94,4.59,4.65,"f",1,0.41,3773,"Amsterdam"
"Sophisticated and bright rooftop studio for 2 pers near Oosterpark with balcony","2018-12-05","within an hour",91,96,"f",6,6,"t","t","Entire home/apt",2,NA,1,196,1,365,302,11,11,0,4,4.09,3.82,3.64,4.27,3.91,3.27,"t",6,2.13,1087,"Amsterdam"
"Spacious LOFT, free PARKING in City Centre","2014-03-02","within an hour",100,100,"t",1,1,"t","t","Private room",4,1,2,200,2,30,328,96,20,4,4.85,4.86,4.83,4.99,4.98,4.83,4.61,"f",1,2.23,2826,"Amsterdam"
"Lovely Private Room near Dam Square","2019-10-08","within an hour",98,81,"f",11,11,"t","t","Entire home/apt",4,2,2,246,2,1125,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",7,NA,780,"Amsterdam"
"Spui's the Limit","2020-11-10","within an hour",100,100,"f",0,0,"t","t","Private room",2,NA,1,56,3,1125,329,0,0,0,NA,NA,NA,NA,NA,NA,NA,"t",1,NA,381,"Amsterdam"
"Two Amsterdam Rooms, Oost, 3pp in Casa Vrolik bnb","2013-01-30","within an hour",100,100,"t",3,3,"t","t","Entire home/apt",3,2,2,171,1,29,228,21,3,2,4.9,5,4.95,5,5,4.86,4.95,"t",3,0.39,3222,"Amsterdam"
"2BDRM/ Central/ Spacious/100m2","2012-02-14","N/A",NA,NA,"f",1,1,"t","f","Entire home/apt",4,2,2,185,4,30,0,18,0,0,4.83,4.89,4.56,4.94,5,4.72,4.72,"f",2,0.37,3573,"Amsterdam"
"1 Studio Retreat - New","2012-03-29","within an hour",100,99,"t",7,7,"t","t","Entire home/apt",2,1,1,348,1,60,8,15,4,0,4.27,4.8,4.67,4.6,4.4,4.87,4.33,"t",5,0.54,3529,"Amsterdam"
"BIG COZY APARTMENT","2013-09-20","N/A",NA,100,"f",1,1,"t","f","Entire home/apt",4,3,3,220,3,1125,156,62,0,0,4.56,4.64,4.46,4.85,4.88,4.42,4.53,"f",1,0.67,2989,"Amsterdam"
"Private Apartment in Amsterdam","2016-05-22","within a day",50,0,"f",0,0,"t","t","Entire home/apt",2,1,1,148,3,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",1,NA,2014,"Amsterdam"
"Mr. Monkey - Quad Bunk Room","2020-07-22","within an hour",91,97,"f",7,7,"t","t","Private room",4,1,3,199,1,365,108,6,6,1,4.67,4.83,4.33,4.83,4.5,5,4.67,"t",7,0.54,492,"Amsterdam"
"Sunny & Cosy apartment","2019-01-06","within a day",100,NA,"f",1,1,"t","f","Entire home/apt",4,2,2,300,4,1125,311,1,0,0,5,5,5,5,5,5,5,"f",1,0.03,1055,"Amsterdam"
"Large family home with authentic canal view","2012-09-18","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,4,251,3,1125,142,30,3,0,4.93,4.93,4.97,4.93,4.97,4.79,4.64,"f",1,7.38,3356,"Amsterdam"
"Marnix Modern: Supercentral","2016-04-22","within an hour",100,95,"f",5,5,"t","t","Entire home/apt",7,2,5,220,3,365,334,171,19,2,4.41,4.63,4.49,4.5,4.51,4.82,4.29,"f",5,2.8,2044,"Amsterdam"
"Modern Loft apartment, space luxury, BBQ rooftop","2015-06-07","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",3,2,1,210,4,14,0,14,0,0,4.92,4.62,4.92,5,4.92,4.23,4.54,"f",1,0.22,2364,"Amsterdam"
"Garden view Studio in family home","2012-12-28","within an hour",100,100,"t",3,3,"t","t","Entire home/apt",2,NA,1,98,3,1125,114,21,5,0,4.95,4.95,5,5,5,4.85,4.8,"t",2,1.33,3255,"Amsterdam"
"3rd&4th floor apartment near the Foodhallen","2011-05-22","within a few hours",100,52,"f",6,6,"t","t","Entire home/apt",2,1,1,175,1,1125,108,0,0,0,NA,NA,NA,NA,NA,NA,NA,"f",6,NA,3841,"Amsterdam"
"Beautiful and spacious apartment in Amsterdam","2014-03-05","within an hour",100,94,"t",2,2,"t","t","Entire home/apt",4,2,3,200,2,1125,9,102,7,0,4.66,4.68,4.28,4.73,4.93,4.58,4.34,"f",1,1.42,2823,"Amsterdam"
"Lovely house with rooftop terrace near Westerpark","2017-05-19","within an hour",100,100,"f",0,0,"t","t","Entire home/apt",4,2,2,300,3,3,2,6,6,3,5,5,4.83,5,5,4.83,4.5,"t",1,6,1652,"Amsterdam"
"★ MODERN ★ PRIVATE STUDIO @ NDSM AMSTERDAM ★","2015-10-16","N/A",NA,100,"t",41,41,"t","t","Entire home/apt",2,NA,1,81,3,1001,0,103,10,2,4.39,4.56,4.65,4.37,4.48,4.18,4.28,"f",6,1.73,2233,"Amsterdam"
"central canal apartment","2013-03-25","N/A",NA,100,"f",1,1,"t","t","Entire home/apt",2,1,1,140,4,16,0,29,1,0,4.93,4.97,4.83,5,4.93,4.97,4.9,"f",1,0.55,3168,"Amsterdam"
"Amazing House+Garden. 2 floors. Great location","2014-07-25","within a few hours",100,83,"f",0,0,"t","t","Entire home/apt",4,2,2,350,2,15,90,2,2,0,4.5,5,5,5,5,4.5,4.5,"t",1,0.81,2681,"Amsterdam"
"Private Vacation Apartment #4 in ArtHotel by metro","2020-01-03","within an hour",100,86,"t",0,0,"t","t","Private room",4,2,2,133,3,1125,145,24,13,3,4.79,4.83,4.79,5,4.96,4.83,4.88,"t",4,1.45,693,"Amsterdam"
"Charming appartment","2013-05-27","within an hour",100,100,"f",1,1,"t","t","Entire home/apt",3,2,2,85,2,1125,0,5,5,0,5,4.8,5,5,5,4.6,5,"f",1,1.3,3105,"Amsterdam"
"House with garden on the south","2014-04-16","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",4,2,2,160,2,30,4,2,2,1,5,5,5,5,5,4.5,5,"f",1,2,2781,"Amsterdam"
"Charming house with garden- great for families","2013-09-11","N/A",NA,100,"f",1,1,"t","t","Entire home/apt",4,4,4,195,3,21,0,6,3,0,5,5,4.5,5,4.67,4.67,4.67,"f",1,2.09,2998,"Amsterdam"
"@ VeroVital: Perfect Comfort, Perfect Location","2018-01-28","within an hour",100,100,"f",1,1,"t","t","Private room",4,1,1,69,2,8,56,208,33,6,4.69,4.8,4.8,4.62,4.77,4.89,4.41,"t",1,4.58,1398,"Amsterdam"
"★COSY STUDIO FOR 2 IN THE JORDAAN ★ CANALS ★ VIEW★","2019-12-15","within an hour",100,100,"t",1,1,"t","t","Private room",2,NA,1,94,3,1001,58,36,17,3,4.94,4.97,5,5,5,5,4.83,"f",1,1.6,712,"Amsterdam"
"Quirky and comfortable apartment with one bedroom","2012-03-07","N/A",NA,NA,"f",1,1,"t","t","Entire home/apt",2,1,1,120,4,40,0,27,1,0,4.93,4.96,4.88,4.96,5,4.85,4.81,"f",1,0.44,3551,"Amsterdam"
